,ki,kd,time
"(0.16, 0.4)",0.16,0.4,15.00938892364502
"(0.16, 0.5)",0.16,0.5,15.048272132873535
"(0.16, 0.6000000000000001)",0.16,0.6000000000000001,9.273305654525757
"(0.16, 0.7000000000000001)",0.16,0.7000000000000001,15.055882453918457
"(0.16, 0.8)",0.16,0.8,15.016717672348022
"(0.16, 0.9)",0.16,0.9,4.8929877281188965
"(0.17, 0.0)",0.17,0.0,7.920968770980835
"(0.17, 0.1)",0.17,0.1,4.828685998916626
"(0.17, 0.2)",0.17,0.2,15.030556917190552
"(0.17, 0.30000000000000004)",0.17,0.30000000000000004,15.029424905776978
"(0.17, 0.4)",0.17,0.4,15.06031847000122
"(0.17, 0.5)",0.17,0.5,15.066159009933472
"(0.17, 0.6000000000000001)",0.17,0.6000000000000001,9.109136819839478
"(0.17, 0.7000000000000001)",0.17,0.7000000000000001,4.959038019180298
"(0.17, 0.8)",0.17,0.8,15.097275495529175
"(0.17, 0.9)",0.17,0.9,15.073918342590332
"(0.18, 0.0)",0.18,0.0,15.045987606048584
"(0.18, 0.1)",0.18,0.1,15.061305522918701
"(0.18, 0.2)",0.18,0.2,15.057930946350098
"(0.18, 0.30000000000000004)",0.18,0.30000000000000004,15.06028938293457
"(0.18, 0.4)",0.18,0.4,15.0817232131958
"(0.18, 0.5)",0.18,0.5,15.028006792068481
"(0.18, 0.6000000000000001)",0.18,0.6000000000000001,15.00809907913208
"(0.18, 0.7000000000000001)",0.18,0.7000000000000001,15.01042652130127
"(0.18, 0.8)",0.18,0.8,15.092784881591797
"(0.18, 0.9)",0.18,0.9,15.006022214889526
"(0.19, 0.0)",0.19,0.0,15.04391622543335
"(0.19, 0.1)",0.19,0.1,15.008044242858887
"(0.19, 0.2)",0.19,0.2,15.063538551330566
"(0.19, 0.30000000000000004)",0.19,0.30000000000000004,15.087316513061523
"(0.19, 0.4)",0.19,0.4,15.051474332809448
"(0.19, 0.5)",0.19,0.5,15.047715187072754
"(0.19, 0.6000000000000001)",0.19,0.6000000000000001,15.083151578903198
"(0.19, 0.7000000000000001)",0.19,0.7000000000000001,15.06122899055481
"(0.19, 0.8)",0.19,0.8,15.006074905395508
"(0.19, 0.9)",0.19,0.9,15.055171012878418
"(0.2, 0.0)",0.2,0.0,15.011884450912476
"(0.2, 0.1)",0.2,0.1,15.032627820968628
"(0.2, 0.2)",0.2,0.2,15.076188564300537
"(0.2, 0.30000000000000004)",0.2,0.30000000000000004,15.017274856567383
"(0.2, 0.4)",0.2,0.4,15.042004108428955
"(0.2, 0.5)",0.2,0.5,15.013354063034058
"(0.2, 0.6000000000000001)",0.2,0.6000000000000001,15.00818157196045
"(0.2, 0.7000000000000001)",0.2,0.7000000000000001,15.009200096130371
"(0.2, 0.8)",0.2,0.8,15.084534883499146
"(0.2, 0.9)",0.2,0.9,15.0397207736969
"(0.21, 0.0)",0.21,0.0,15.064607620239258
"(0.21, 0.1)",0.21,0.1,15.026254653930664
"(0.21, 0.2)",0.21,0.2,15.074464797973633
"(0.21, 0.30000000000000004)",0.21,0.30000000000000004,15.092352151870728
"(0.21, 0.4)",0.21,0.4,15.060600996017456
"(0.21, 0.5)",0.21,0.5,15.086795806884766
"(0.21, 0.6000000000000001)",0.21,0.6000000000000001,15.006740093231201
"(0.21, 0.7000000000000001)",0.21,0.7000000000000001,15.022298336029053
"(0.21, 0.8)",0.21,0.8,15.000370025634766
"(0.21, 0.9)",0.21,0.9,15.010354995727539
"(0.22, 0.0)",0.22,0.0,15.066826105117798
"(0.22, 0.1)",0.22,0.1,15.048901081085205
"(0.22, 0.2)",0.22,0.2,15.017192602157593
"(0.22, 0.30000000000000004)",0.22,0.30000000000000004,15.0863938331604
"(0.22, 0.4)",0.22,0.4,15.077412843704224
"(0.22, 0.5)",0.22,0.5,15.090102434158325
"(0.22, 0.6000000000000001)",0.22,0.6000000000000001,15.009721279144287
"(0.22, 0.7000000000000001)",0.22,0.7000000000000001,15.056327819824219
"(0.22, 0.8)",0.22,0.8,15.032339096069336
"(0.22, 0.9)",0.22,0.9,15.08534026145935
"(0.23, 0.0)",0.23,0.0,15.050704956054688
"(0.23, 0.1)",0.23,0.1,15.031466007232666
"(0.23, 0.2)",0.23,0.2,15.06999945640564
"(0.23, 0.30000000000000004)",0.23,0.30000000000000004,15.097459077835083
"(0.23, 0.4)",0.23,0.4,15.060721158981323
"(0.23, 0.5)",0.23,0.5,15.063672542572021
"(0.23, 0.6000000000000001)",0.23,0.6000000000000001,15.075653314590454
"(0.23, 0.7000000000000001)",0.23,0.7000000000000001,15.077154636383057
"(0.23, 0.8)",0.23,0.8,15.058106422424316
"(0.23, 0.9)",0.23,0.9,15.092077255249023
"(0.24, 0.0)",0.24,0.0,15.057134866714478
"(0.24, 0.1)",0.24,0.1,15.043764114379883
"(0.24, 0.2)",0.24,0.2,15.045591592788696
"(0.24, 0.30000000000000004)",0.24,0.30000000000000004,15.057183265686035
"(0.24, 0.4)",0.24,0.4,15.058039903640747
"(0.24, 0.5)",0.24,0.5,15.061591386795044
"(0.24, 0.6000000000000001)",0.24,0.6000000000000001,15.062276840209961
"(0.24, 0.7000000000000001)",0.24,0.7000000000000001,15.076383113861084
"(0.24, 0.8)",0.24,0.8,15.064369201660156
"(0.24, 0.9)",0.24,0.9,15.051729202270508
"(0.25, 0.0)",0.25,0.0,15.011860609054565
"(0.25, 0.1)",0.25,0.1,15.04991102218628
"(0.25, 0.2)",0.25,0.2,15.07283878326416
"(0.25, 0.30000000000000004)",0.25,0.30000000000000004,15.023717164993286
